,uri,track_name,artist,explicit,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity,lyrics
1,spotify:track:1i36kkhmhBxf4lYJscg5zK,Fantasy,Bazzi,True,0.699,0.668,5.0,-4.272,0.0336,0.154,3.2e-06,0.362,0.314,144.105,73,"[Chorus]You should knowYou can go where you wanna goI can take you thereWildest dreams, put some faith in meTake my hand to your fantasy[Verse 1]Going through these bottlesFucking with these modelsAll the way in CaliFoot up on the throttleI'm focused on the visionTryna pay tuitionFor the ones I'm missingFamily is a missionOh, yeahPut you on to things you thought were impossibleOn and on, me and you, we unstoppable[Chorus]You should knowYou can go where you wanna goI can take you thereWildest dreams, put some faith in meTake my hand to your fantasy"
4,spotify:track:696DnlkuDOXcMAnKlTgXXK,ROXANNE,Arizona Zervas,True,0.621,0.601,6.0,-5.616,0.148,0.0522,0.0,0.46,0.457,116.735,78,"[Intro]All for the 'GramBitches love the 'GramOh, wait, shitBrr, brr (Ayy, yeah, yeah, yeah, ayy)Brr, brr, brr, ayySkrrt skrrt94 don't need no brakes, yeah[Chorus]Roxanne, RoxanneAll she wanna do is party all nightGoddamn, RoxanneNever gonna love me, but it's alrightShe think I'm an asshole, she think I'm a playerShe keep running back, though, only 'cause I pay upRoxanne, RoxanneAll she wanna do is party all night[Verse 1]Met her at a party in the hills, yeahShe just wanna do it for the thrill, yeahShorty drive a poodle with no top (Top, top)But if I throw this money, she gon' drop, ayyShe don't wait in lines if it's too longShe don't drive the whip unless the roof offOnly wanna call when the cash outOnly take the pic when her ass out"
5,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,The Box,Roddy Ricch,True,0.896,0.586,10.0,-6.687,0.0559,0.104,0.0,0.79,0.642,116.971,84,"[Chorus]Pullin' out the coupe at the lotTold 'em fuck 12, fuck SWATBustin' all the bells out the boxI just hit a lick with the boxHad to put the stick in the box, mmhPour up the whole damn seal, I'ma get lazyI got the mojo deals, we been trappin' like the '80sShe sucked a nigga soul, gotta Cash AppTold 'em wipe a nigga nose, say slatt, slattI won't never sell my soul, and I can back thatAnd I really wanna know where you at, at[Verse 1]I was out back where the stash atCruise the city in a bulletproof Cadillac (Skrrt)'Cause I know these niggas after where the bag at (Yeah)Gotta move smarter, gotta move harderNigga try to get me for my waterI'll lay his ass down, on my son, on my daughterI had the Draco with me, Dwayne CarterLotta niggas out here playin', ain't ballin'I done put my whole arm in the rim, Vince Carter (Yeah)And I know probably get a key for the quarterShawty barely seen in double C's, I bought 'emGot a bitch that's looking like Aaliyah, she a modelI got the pink slip, all my whips is key-lessCompton, I'm about to get the key to the cityPatek like the sea, forgive me"
6,spotify:track:0w5Bdu51Ka25Pf3hojsKHh,Hard Times,Paramore,False,0.695,0.818,5.0,-5.379,0.0334,0.00647,4.87e-06,0.0219,0.916,119.965,75,"[Intro]One, two[Verse 1]All that I wantIs to wake up fineTell me that I'm alrightThat I ain't gonna dieAll that I wantIs a hole in the groundYou can tell me when it's alrightFor me to come out[Chorus]Hard timesGonna make you wonder why you even tryHard timesGonna take you down and laugh when you cryThese livesAnd I still don't know how I even surviveHard times, hard timesAnd I gotta get to rock bottom (Uh)[Verse 2]Walking aroundWith my little rain cloudHangin' over my headAnd it ain't coming downWhere do I go?Give me some sort of signYou hit me with lightningMaybe I'll come alive"
7,spotify:track:1iSqfoUFnQwV0QW1EfUit8,Suicidal,YNW Melly,True,0.735,0.369,9.0,-9.682,0.0688,0.334,0.0,0.126,0.235,140.004,76,"[Intro]SuicidalYour love is suicidalLately, I've been feeling suicidalYour love is suicidal[Pre-Chorus]I thought that we were meant to beYou took my heart and made it bleedI gave you all my ecstasyI know you'll be the death of me (Keep it Z3N)Left lipstick on my HennessyFelt like you took my soul from meYou gave me all your ecstasyI thought that we were meant to be[Chorus]Your love is suicidalFor me, your love is suicidalTo me, your love is suicidalTo me, your love is suicidal[Refrain]I'm sippin' Hennessy-'y-'y, oohI'm sippin' Hennessy-'y-'y, ooh"
9,spotify:track:0fySG6A6qLE8IvDpayb5bM,VIBEZ,DaBaby,True,0.768,0.652,1.0,-2.708,0.307,0.113,0.0,0.107,0.777,154.187,69,"[Intro]Let's go (Yeah, yeah, Neeko, you made that motherfuckin' beat? Ah, nah)You know it's Baby, nigga, hahahaHah(Oh Lord, Jetson made another one), ha[Chorus]She wanna fuck with me, but I don't got the time (Mmh, mmh)I just hopped off a private plane and went and hopped on 85 (Yeah)Go call my chauffeur, bitch, 'cause I don't like to driveWe in Suburbans back to back and we gon' fill 'em up with vibes (Let's go)[Verse 1]Fill 'em with vibes (Yeah), get in and ride (Yeah, yeah)And no, a nigga not blind (Uh-uh)But I keep the stick and I'm firin' (Bitch)I ain't met a nigga in lifeThat's fuckin' with me, say he did, then he lyin' (Mmh, mmh)Got so many vibes stuffed in the carWe can fuck them hoes six at a time (No cap)I make them hoes say, ""That nigga so fine"" (Ooh)""Girl, he got the dick you can feel in your spine"" (Yeah)Yeah, that what they say about BabyYou know that them bitches don't play about BabyBaby should go run for presidentLook what God did, took his time with me (Yeah, yeah)Got a red and white ho like a peppermint (Ooh)Book the hotel, take the vibes inShe gon' fuck me and fuck on my brethren (Uh)My brother 'nem, havin' three hoes in the king sizeI ain't finished yet (Mmh), get another bitch (Mmh)Got her ridin' dick and screamin', ""Yeehaw"" (Mmh, mmh, mmh, mmh)Make me proud, girl, you a cowgirl (Huh?)Did a handstand, I'm like, ""Wow, girl"" (Okay, okay)Got me fuckin' her upside-down (Ooh, mmh), baow, baowYeah, we goin' dumb, say she wanna cum (Mmh)I'm lookin' like, ""When?"" She lookin' like, ""Now""Some more came in, say they want it tooI tagged in my brother, bitch, I'm out (Bye), I know"
11,spotify:track:1mCsF9Tw4AkIZOjvZbZZdT,Break My Stride,Matthew Wilder,False,0.917,0.588,10.0,-11.047,0.0607,0.195,0.0,0.0914,0.828,110.077,74,"[Verse 1]Last night, I had the strangest dreamI sailed away to ChinaIn a little rowboat to find yaAnd you said you had to get your laundry cleanDidn't want no one to hold you, what does that mean?And you said[Chorus]Ain't nothin' gonna break my strideNobody gonna slow me downOh no, I got to keep on movingAin't nothin' gonna break-a my strideI'm runnin' and I won't touch groundOh no, I got to keep on moving[Verse 2]You're on a roll and now you pray it lastsThe road behind was rockyBut now you're feeling cockyYou look at me and you see your pastIs that the reason why you're runnin' so fast?And she said[Chorus]Ain't nothin' gonna break-a my strideNobody gonna slow me downOh no, I got to keep on movingAin't nothin' gonna break my strideI'm runnin' and I won't touch groundOh no, I got to keep on moving"
13,spotify:track:0Aqi7ArnBrGblW5T6p2jmD,Falling,Trevor Daniel,False,0.785,0.431,10.0,-8.756,0.0364,0.123,0.0,0.0887,0.236,127.085,79,"[Intro]OhOoh, ooh[Chorus]My last made me feel like I would never try againBut when I saw you, I felt something I never feltCome closer, I'll give you all my loveIf you treat me right, baby, I'll give you everythingMy last made me feel like I would never try againBut when I saw you, I felt something I never feltCome closer, I'll give you all my loveIf you treat me right, baby, I'll give you everything[Verse]Talk to me, I need to hear you need me like I need yaFall for me, I wanna know you feel how I feel for you, loveBefore you, baby, I was numb, drown out pain by pourin' upSpeedin' fast on the run, never wanna get caught upNow you're the one that I'm callin'Swore I thought I'd never fall again, don't think I'm just talkin'I think I might go all in, no exceptions, girl, I need ya[Bridge]Feeling like I'm out of my mind, 'cause I can't get enoughOnly one that I give my time, 'cause I got eyes for yaMight make an exception for ya, 'cause I been feelin' yaThink I might be out of my mind, I think that you're the one"
17,spotify:track:6jRq8gaZhMUyy5RclRPcAf,hot girl bummer,blackbear,True,0.782,0.559,6.0,-7.106,0.0767,0.125,0.0,0.385,0.685,129.992,79,"[Intro]Fuck you, and you, and youI hate your friends and they hate me tooI'm through, I'm through, I'm throughThis that hot girl bummer anthemTurn it up and throw a tantrum[Verse 1]This that hot girl bummer anthemTurn it up and throw a tantrumThis that throw up in your Birkin bagHook up with someone randomThis that social awkward suicideThat buy your lips and buy your likesI swear she had a manBut shit hit different when it's Thursday night[Pre-Chorus]That college dropout musicEvery day leg day, she be too thickAnd my friends are all annoyingBut we go dumb, yeah, we go stupidThis that 10K on the tableJust so we can be secludedAnd the vodka came dilutedOne more line, I'm superhuman"
19,spotify:track:3Dv1eDb0MEgF93GpLXlucZ,Say So,Doja Cat,True,0.787,0.673,11.0,-4.583,0.159,0.264,3.35e-06,0.0904,0.779,110.962,79,"[Chorus]Day to night to morning, keep with me in the momentI'd let you had I known it, why don't you say so?Didn't even notice, no punches left to roll withYou got to keep me focused; you want it? Say soDay to night to morning, keep with me in the momentI'd let you had I known it, why don't you say so?Didn't even notice, no punches left to roll withYou got to keep me focused; you want it? Say so[Verse 1]It's been a long time since you fell in loveYou ain't coming out your shell, you ain't really been yourselfTell me, what must I do? (Do tell, my love)'Cause luckily, I'm good at readingI wouldn't bug him, but he won't stop cheesin'And we can dance all day around itIf you frontin', I'll be bouncingIf you want it, scream it, shout it, babeBefore I leave you dry[Chorus]Day to night to morning, keep with me in the momentI'd let you had I known it, why don't you say so?Didn't even notice, no punches left to roll withYou got to keep me focused; you want it? Say soDay to night to morning, keep with me in the momentI'd let you had I known it, why don't you say so?Didn't even notice, no punches left to roll withYou got to keep me focused; you want it? Say so (Yeah)"
