,uri,track_name,artist,explicit,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity,lyrics
2,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,False,0.902,0.582,5.0,-5.902,0.109,0.111,3.18e-06,0.111,0.332,107.005,81,"[Intro]Come on, Harry, we wanna say goodnight to you[Verse 1]Holdin' me backGravity's holdin' me backI want you to hold out the palm of your handWhy don't we leave it at that?Nothin' to sayWhen everything gets in the waySeems you cannot be replacedAnd I'm the one who will stay, oh-oh-oh[Chorus]In this world, it's just usYou know it's not the same as it wasIn this world, it's just usYou know it's not the same as it wasAs it was, as it wasYou know it's not the same[Verse 2]Answer the phone""Harry, you're no good aloneWhy are you sitting at home on the floor?What kind of pills are you on?""Ringin' the bellAnd nobody's coming to helpYour daddy lives by himselfHe just wants to know that you're well, oh-oh-oh"
3,spotify:track:0wHFktze2PHC5jDt3B17DC,First Class,Jack Harlow,True,0.768,0.714,10.0,-5.11,0.0401,0.352,0.0,0.15,0.842,131.443,86,"[Intro: Jack Harlow]Mm[Chorus: Jack Harlow & Fergie]I been a (G), throw up the (L), sex in the (A.M.), uh-huh(O-R-O-U-S, yeah)And I can put you in (First class, up in the sky)I can put you in (First class, up in the s—, up-up in the s—)I been a (G), throw up the (L), sex in the (A.M.), uh-huh(O-R-O-U-S, yeah)And I can put you in (First class, up in the sky), mm, mmI can put you in (First class, up in the s—, up-up in the s—)[Verse 1: Jack Harlow]I can see the whole city from this balconyBack in 2019, I was outside freely, but now they got it out for meI don't care what frat that you was in, you can't alpha me, keep dreamin'Pineapple juice, I give her sweet, sweet, sweet semenI know what they like so I just keep cheesin'Hard drive full of heat seekin'Tryna come the same day as Jack? Rethink itYou don't need Givenchy, you need JesusWhy do y'all sleep on me? I need reasonsUh, I got plaques in thе mail, peak seasonShout out to my UPS workers makin' surе I receive 'emYou can do it too, believe it"
4,spotify:track:5YqEzk3C5c3UZ1D5fJUlXA,Sunroof,Nicky Youre,False,0.836,0.743,10.0,-6.305,0.0656,0.0995,0.0,0.335,0.722,108.966,78,"[Intro]La-da, la-da-da, la-da-daLa-da, la-da-di-da-da, la-da-da-da-daLa-da, la-da-da, la-da-daLa-da, la-da-di-da[Chorus]I got my head out the sunroofI'm blastin' our favorite tunesI only got one thing on my mindYou got me stuck on the thought of youYou're makin' me feel brand newYou're more than a sunshine in my eyes[Verse]You got those pretty eyes in your head, you know itYou got me dancin' in my bed, so let me show itYou are exactly what I want, kinda cool and kinda notWanna give myself to you[Pre-Chorus]Yeah, we're drivin' down the freeway at nightI only got one thing in the back of my mind(You got me stuck on the thought of you)I'm feelin' like this might be my time to shineWith you, with you, with you"
5,spotify:track:1PckUlxKqWQs3RlWXVBLw3,About Damn Time,Lizzo,True,0.745,0.65,2.0,-11.814,0.346,0.0451,0.00758,0.111,0.386,144.047,71,"[Intro]Anyway[Verse 1]It's bad bitch o'clock, yeah, it's thick-thirtyI've been through a lot, but I'm still flirty (Okay)Is everybody back up in the buildin'?It's been a minute, tell me how you're healin''Cause I'm about to get into my feelingsHow you feelin'? How you feel right now?[Pre-Chorus]Oh, I been so down and under pressureI'm way too fine to be this stressed, yeahOh, I'm not the girl I was or used to be, uhBitch, I might be better[Chorus]Turn up the music, turn down the lightsI got a feelin' I'm gon' be alrightOkay (Okay), alrightIt's about damn time (Time)Turn up the music, let's celebrate (Alright)I got a feelin' I'm gon' be okayOkay (Okay), alrightIt's about damn time"
6,spotify:track:5vUnjhBzRJJIAOJPde6zDx,TO THE MOON,JNR CHOI,True,0.41,0.611,4.0,-8.271,0.0467,0.0228,0.0,0.116,0.0899,185.727,85,"[Intro: Sam Tompkins]Sit by myselfTalking to the moon[Chorus: Jnr Choi & Sam Tompkins]Teh, ha, pull up the ting, gon' turn upTeh, ha, yeah, yeah (Tryna get to you)Teh, ha, ha, pull up the ting, gon' turn upTeh, ha, yeah, yeah (Tryna get to you), teh, teh, tehPull up the ting, gon' turn up(Brr, bo-bo-bo, bo-bo-bo, bo-bo-bo; tryna get to you)Yeah, yeah, pull up the ting, gon' turn up(Doo-doo-doo-doo) Yeah (Tryna get to you)[Verse 1: Jnr Choi]Ooh, yeah, come for the zoov, yeahPull up for certain, yeah, come set the mood, yeahYou come like sunshine, yeah, call me the moonBaby girl fine, so fine, so finе, might give her the wood, yеahOoh, yeah, come for the zoov, yeahPull up for certain, yeah, come set the mood, yeahYou come like sunshine, yeah, call me the moonBaby girl fine, so fine, so fine, might give her the wood, yeah[Chorus: Jnr Choi & Sam Tompkins](Moon) Teh, ha, pull up the ting, gon' turn upTeh, ha, yeah, yeah (Tryna get to you)Teh, ha, ha, pull up the ting, gon' turn upTeh, ha, yeah, yeah (Tryna get to you), teh, teh, tehPull up the ting, gon' turn up(Brr, bo-bo-bo, bo-bo-bo, bo-bo-bo; tryna get to you)Yeah, yeah, pull up the ting, gon' turn up(Doo-doo-doo-doo) Yeah, yeah (Tryna get to you)"
8,spotify:track:1ZdhOMWyFR8Iv9eylMGYg2,Mount Everest,Labrinth,True,0.345,0.612,7.0,-6.543,0.0608,0.232,0.0,0.194,0.232,179.773,82,"[Verse 1]Mount Everest ain't got shit on meMount Everest ain't got shit on me'Cause I’m on top of the worldI'm on top of the world, yeahBurj Dubai ain't got shit on meYou could touch the sky but you ain't got shit on me'Cause I'm on top of the worldI'm on top of the world, yeah[Chorus]WoopWoopWoopWoop, woop, woopWoopWoopWoopSweet, sweetHuhWoopWoop, ahWoopWoop, woop, woopWoopWoopWoopSweet, sweet"
9,spotify:track:59CfNbkERJ3NoTXDvoURjj,Boyfriend,Dove Cameron,True,0.89,0.46,2.0,-8.155,0.0359,0.432,0.0,0.11,0.677,112.555,66,"[Verse 1]I can't believe we're finally aloneI can't believe I almost went homeWhat are the chances? Everyone's dancingAnd he's not with you (Hmm, hmm, hmm, hmm)[Pre-Chorus 1]The universe must have divined thisWhat am I gonna do? Not grab your wrist?[Chorus]I could be a better boyfriend than himI could do the shit that he never didUp all night, I won't quitThinking I'm gonna steal you from himI could be such a gentlemanPlus, all my clothes would fit[Post-Chorus]I could be a better boyfriend[Verse 2]I don't need to tell you twiceAll the ways hе can't sufficeIf I could give you some advicеI would leave with me tonight"
10,spotify:track:0DGTcMqvVR7fmBXgiG6jz4,Just A Cloud Away,Pharrell Williams,False,0.854,0.806,11.0,-8.262,0.0886,0.0209,0.0542,0.0703,0.637,124.927,81,"[Chorus: Pharrell Williams]This rainy day is temporaryThe contrast is why we got 'em'Cause sun shining through is just a cloudAway, way, way, way, way, wayWay, way, way (Hey, baby), way, way, way, way[Verse 1: Pharrell Williams]So what? You've blown a fuse (You've blown a fuse)Well, that happens to us all (That happens to us all)Well, I come with great news (I come with great news)The day could change (Change), change (Change)Change (Change), change (Change)[Pre-Chorus: Pharrell Williams]We've all, of course, been there beforeBeen there cryin', fightin' the darkLet good energy be, you're strongBlow it away, way, way, way[Chorus: Pharrell Williams]This rainy day is temporaryThe contrast is why we got 'emThe sun shining through is just a cloudAway, way, way, way, way, wayWay, way, way (Hey, baby), way, way, way, way"
11,spotify:track:20on25jryn53hWghthWWW3,Do It To It,ACRAZE,False,0.764,0.705,3.0,-5.279,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003,81,"[Chorus]Bounce wit it, drop wit itLean wit it, rock wit it, snap wit itAll my ladies, pop yo backs wit itBounce wit it, drop wit itLean wit it, rock wit it, snap wit itAll my ladies, pop yo backs wit itBounce wit it, drop wit itLean wit it, rock wit it, snap wit itAll my ladies, pop yo backs wit itBounce wit it, drop wit itLean wit it, rock wit it, snap wit itAll my ladies, pop yo backs wit itBounce wit it, drop wit itLean wit it, rock wit it, snap wit itAll my fellas, tip yo hats wit it[Post-Chorus]All my ladies, pop yo backs wit it[Instrumental Break][Build]Snap wit itAll my ladies, pop yo backs wit it"
13,spotify:track:4fouWK6XVHhzl78KzQ1UjL,abcdefu,GAYLE,True,0.601,0.712,1.0,-9.433,0.0436,0.0848,0.0,0.461,0.389,114.97,72,"[Intro]Fuck you and your mom and your sister and your jobAnd your broke-ass car and that shit you call artFuck you and your friends that I'll never see againEverybody but your dog, you can all fuck off[Verse 1]I swear I meant to mean the best when it endedEven tried to bite my tongue when you start shitNow you're textin' all my friends asking questionsThey never even liked you in the first placeDated a girl that I hate for the attentionShe only made it two days, what a connectionIt's like you'd do anythin' for my affectionYou're goin' all about it in the worst ways[Pre-Chorus]I was into you, but I'm ovеr it nowAnd I was tryna be niceBut nothing's getting through, so lеt me spell it out[Chorus]A-B-C-D-E, F youAnd your mom and your sister and your jobAnd your broke-ass car and that shit you call artFuck you and your friends that I'll never see againEverybody but your dog, you can all fuck off"
