,uri,track_name,artist,explicit,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity,lyrics
0,spotify:track:3rUGC1vUpkDG9CZFHMur1t,greedy,Tate McRae,True,0.75,0.733,6,-3.18,0.0319,0.256,0.0,0.114,0.844,111.018,95,"[Intro](Woo)[Verse 1]He said, ""Are you serious? I've tried, but I can't figure outI've been next to you all night and still don't know what you're aboutYou keep ta- (Ta-ta-), talkin', but not much comin' out your mouthCan't you tell that I want you?"" I say, yeah[Chorus]I would want myselfBaby, please believe meI'll put you through hellJust to know me, yeah, yeahSo sure of yourselfBaby, don't get greedyThat shit won't end wellNo, it won't end well[Interlude](Uh-uh, uh-uh-uh, uh-uh, woo)[Verse 2]I see you eyein' me down, but you'll never know much past my nameOr how I'm runnin' this room around and that I'm still half your ageYeah, you're loo- (Loo-loo-), lookin' at me like I'm some sweet escapeObvious that you want me, but I said"
2,spotify:track:2IGMVunIBsBLtEQyoI1Mu7,Paint The Town Red,Doja Cat,True,0.868,0.538,5,-8.603,0.174,0.269,3.34e-06,0.0901,0.732,99.968,100,"[Intro: Dionne Warwick]ByWalk on byWalk on byWalk on byWalk on by[Chorus: Doja Cat]Yeah, bitch, I said what I saidI'd rather be famous insteadI let all that get to my headI don’t care, I paint the town redBitch, I said what I saidI'd rather be famous insteadI let all that get to my headI don't care, I paint the town red[Post-Chorus: Doja Cat]Mm, she the devilShe a bad lil’ bitch, she a rebelShe put her foot to the pedalIt'll take a whole lot for me to settleMm, she the devilShe a bad lil' bitch, she a rebelShe put her foot to the pedalIt'll take a whole lot for me to settle (Yeah, yeah)"
4,spotify:track:6IPwKM3fUUzlElbvKw2sKl,we fell in love in october,girl in red,False,0.566,0.366,7,-12.808,0.028,0.113,0.181,0.155,0.237,129.96,88,"[Verse 1]Smoking cigarettes on the roofYou look so pretty and I love this view[Pre-Chorus]We fell in love in OctoberThat's why, I love fallLooking at the starsAdmiring from afar[Chorus]My girl, my girl, my girlYou will be my girlMy girl, my girl, my girlYou will be my worldMy world, my world, my worldYou will be my girl[Verse 2]Smoking cigarettes on the roofYou look so pretty and I love this viewDon't bother looking downWe're not going that wayAt least I know, I am here to stay[Pre-Chorus]We fell in love in OctoberThat's why, I love fallLooking at the starsAdmiring from afar(My girl, my girl, my girl)"
5,spotify:track:1odExI7RdWc4BT515LTAwj,Daylight,David Kushner,False,0.508,0.43,2,-9.475,0.0335,0.83,0.000441,0.093,0.324,130.09,95,"[Verse 1]Telling myself I won't go thereOh, but I know that I won't careTryna wash away all the blood I've spiltThis lust is a burden that we both shareTwo sinners can't atone from a lone prayerSouls tied, intertwined by pride and guilt[Pre-Chorus](Ooh) There's darkness in the distanceFrom the way that I've been livin'(Ooh) But I know I can't resist it[Chorus]Oh, I love it and I hate it at the same timeYou and I drink the poison from the same vineOh, I love it and I hate it at the same timeHidin' all of our sins from the daylightFrom the daylight, runnin' from thе daylightFrom the daylight, runnin' from the daylightOh, I love it and I hatе it at the same time[Verse 2]Tellin' myself it's the last timeCan you spare any mercy that you might findIf I'm down on my knees again?Deep down, way down, Lord, I tryTry to follow your light, but it's nighttimePlease don't leave me in the end"
6,spotify:track:5mjYQaktjmjcMKcUIcqz4s,Strangers,Kenya Grace,False,0.628,0.523,11,-8.307,0.0946,0.701,0.00274,0.219,0.416,169.982,96,"[Intro]Uh-huh, uh-huh, uhUh-huh, uh-huh, uhUh-huh, uh-huh, uhUh-huh, uh-huh[Verse 1]It always ends the sameWhen it was me and youBut every time I meet somebody newIt's like déjà vu (Déjà vu)I swear they sound the sameIt's like they know my skinEvery word they say sounds just like himAnd it goes like this[Chorus]We'll get in your car and you'll lean to kiss meWe'll talk for hours and lie on the backseatUh-huh, uh-huh, uhUh-huh, uh-huhAnd then one random night when everything changesYou won't reply and we'll go back to strangersUh-huh, uh-huh, uhUh-huh, uh-huh, uh"
8,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,Mitski,False,0.504,0.308,9,-14.958,0.0321,0.868,0.135,0.158,0.121,113.95,90,"[Verse 1]Moon, a hole of lightThrough the big top tent up highHere before and after meShinin' down on meMoon, tell me if I couldSend up my heart to you?So, when I die, which I must doCould it shine down here with you?[Chorus]'Cause my love is mine, all mineI love, my, my, mineNothing in the world belongs to meBut my love, mine, all mine, all mine[Verse 2]My baby here on earthShowed me what my heart was worthSo, when it comes to be my turnCould you shine it down here for her?[Chorus]'Cause my love is mine, all mineI love, my, my, mineNothing in the world belongs to meBut my love, mine, all mineNothing in the world is mine for freeBut my love, mine, all mine, all mine"
9,spotify:track:3xIMkM5LgbVDkpO74O3Np3,Rush,Troye Sivan,True,0.742,0.839,5,-7.614,0.0618,0.00306,4.2e-05,0.106,0.346,126.03,88,"[Intro]I feel the rushAddicted to your touch[Verse 1]Big communication, tell me what you wantTranslate your vibration, let your body talk to meBaby love, if you wanna show me whatYou've been schemin' up, if you wanna (Let go)Trust the simulation, don't you let it breakEvery stimulation, promise I can takeWhat you wanna give? Boy, you better show me whatYou've been schemin' up[Pre-Chorus]You got my heartbeat racin'My body blazin'[Chorus]I feel the rushAddicted to your touchOh, I feel the rushIt's so good, it's so goodI feel the rushAddicted to your touchOh, I feel the rushIt's so good, it's so good"
10,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,False,0.552,0.702,9,-5.707,0.157,0.117,2.06e-05,0.105,0.564,169.994,99,"[Intro](Yeah, yeah, yeah, yeah)[Verse 1]Fever dream high in the quiet of the nightYou know that I caught it (Oh yeah, you're right, I want it)Bad, bad boy, shiny toy with a priceYou know that I bought it (Oh yeah, you're right, I want it)[Pre-Chorus]Killing me slow, out the windowI'm always waiting for you to be waiting belowDevils roll the dice, angels roll their eyesWhat doesn't kill me makes me want you more[Chorus]And it's new, the shape of your bodyIt's blue, the feeling I've gotAnd it's ooh, woah-ohIt's a cruel summerIt's cool, that's what I tell 'emNo rules in breakable heavenBut ooh, woah-ohIt's a cruel summer with you[Verse 2]Hang your head low in the glow of the vending machineI'm not dying (Oh yeah, you're right, I want it)We say that we'll just screw it up in these trying timesWe're not trying (Oh yeah, you're right, I want it)"
17,spotify:track:2aEuXA1KswHlCGPOuPmCOW,Touch My Body,Mariah Carey,False,0.714,0.665,4,-7.736,0.0509,0.0996,0.0,0.226,0.842,78.515,76,"[Intro]MC!Uh, uh, uh, in the place to beOh yeah, oh yeah, oh yeah, oh yeah, oh yeahOh yeah, oh yeah, oh yeah, oh yeah[Verse 1]I know that you've been waiting for it, I'm waiting tooIn my imagination, I'd be all up on youI know you got that fever for me: hundred and twoAnd boy, I know I feel the sameMy temperature's through the roof[Pre-Chorus]If there's a camera up in hereThen it's gonna leave with me when I do, I doIf there's a camera up in hereThen I'd best not catch this flick on YouTube, YouTube'Cause if you run your mouthAnd brag about this secret rendezvousI will hunt you down'Cause they be all up in my business like a Wendy interviewBut this is private, 'tween you and I[Chorus]Touch my body, put me on the floorWrestle me around, play with me some moreTouch my body, throw me on the bedI just wanna make you feel like you never didTouch my body, let me wrap my thighsAll around your waist, just a little tasteTouch my body, know you like my curvesCome on and give me what I deserveAnd touch my body"
18,spotify:track:2NbsBSshscKIPRG3kwBbfo,Never Felt So Alone,Labrinth,False,0.436,0.409,5,-4.438,0.0533,0.499,0.000166,0.38,0.363,98.357,78,"[Intro: Labrinth]Oh-oh, oh-ohOh-oh, oh-oh[Chorus: Labrinth, Labrinth & Billie Eilish]And I never felt so alone, felt so alone, na-naAnd I never felt so alone, felt so alone, na-naAnd I never felt so alone, felt so alone, na-naAnd I never felt so alone, felt so alone, na-na[Verse 1: Labrinth, Labrinth & Billie Eilish, Billie Eilish]In a whip (Woah), thinkin', ""What if (Woah)You and this (Woah) never existed?""Hollow kiss (Woah), bottle liquor (Oh)Man, I'm sick, man, I'm schizo[Pre-Chorus: Labrinth, Labrinth & Billie Eilish]All white leatherYou know this man ain't shit without you in the interior (I'm dyin' somewhere in the dark)All white leatherAnd I think, ""What if we weren't ridin' and dyin' together?""The whole world would fall apart[Chorus: Labrinth & Billie Eilish, Billie Eilish, Labrinth]And I never felt so alone, felt so alone, na-na (Never felt so alone, woo! Alone)And I never felt so alone, felt so alone, na-na"
