,uri,track_name,artist,explicit,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity,lyrics
10,spotify:track:0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),Rema,False,0.801,0.806,11,-5.206,0.0381,0.382,0.000669,0.114,0.802,106.999,91,
11,spotify:track:741UUVE2kuITl0c6zuqqbO,Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,True,0.77,0.58,0,-8.393,0.247,0.519,0.000127,0.233,0.753,144.072,91,
12,spotify:track:3IX0yuEVvDbnqUwMBB3ouC,bad idea right?,Olivia Rodrigo,True,0.627,0.879,9,-3.446,0.0955,0.00193,6.87e-06,0.0647,0.748,129.979,93,
13,spotify:track:0bILU0UiNDmA5Ff6whhb2R,Religiously,Bailey Zimmerman,False,0.57,0.67,1,-6.519,0.0274,0.426,0.0,0.108,0.593,140.924,86,"[Verse 1]I went lookin' at pictures I didn't wanna seeThey brought back memoriesYou look happy, I guess, got the life that you wantedBut it ain't with meYou would think by now that I wouldn't careIt's been a couple years and, yeah, I've had my shareOf other broken-up hearts, but I only shed real tears over ours[Chorus]And now I'm in this cold bright lightAnd this don't even feel like life'Cause I don't have the only woman who believed in meReligiouslyAnd now I'm in the back of the churchPrayin' just to stop the hurt'Cause I don't have the only woman who was there for meReligiously[Verse 2]Remember watchin' you play me our song on guitarI thought I'd marry youAct like I'm happier now, but all of my friends knowThat ain't the truthAnd lately life's been good to meMama's healthy and I'm helpin' out the whole familyLotta people know my name, I made a little changeBut that don't mean nothin'"
14,spotify:track:7DSAEUvxU8FajXtRloy8M0,Flowers,Miley Cyrus,False,0.706,0.691,0,-4.775,0.0633,0.0584,6.99e-05,0.0232,0.632,118.048,87,"[Verse 1]We were good, we were goldKinda dream that can't be soldWe were right 'til we weren'tBuilt a home and watched it burn[Pre-Chorus]Mm, I didn't wanna leave you, I didn't wanna lieStarted to cry, but then remembered I[Chorus]I can buy myself flowersWrite my name in the sandTalk to myself for hoursSay things you don't understandI can take myself dancingAnd I can hold my own handYeah, I can love me better than you can[Post-Chorus]Can love me better, I can love me better, babyCan love me better, I can love me better, baby[Verse 2]Paint my nails cherry-redMatch the roses that you leftNo remorse, no regretI forgive every word you said"
15,spotify:track:6HgWWaMu31KdOpEG5l28BG,All My Life (feat. J. Cole),Lil Durk,True,0.829,0.436,3,-8.205,0.327,0.15,0.0,0.0954,0.693,143.031,84,
16,spotify:track:0PAcdVzhPO4gq1Iym9ESnK,Thinkin’ Bout Me,Morgan Wallen,False,0.656,0.757,3,-5.775,0.0308,0.492,0.0,0.117,0.429,139.971,85,
17,spotify:track:5W0RVQViQC7xocvAUnIs6Z,Call Your Friends,Rod Wave,True,0.57,0.557,2,-12.055,0.105,0.143,0.0,0.0926,0.301,83.224,74,"[Verse]Mm, I been up for three nights tryna plan out my lifeI been livin' so wrong but I just wanna do rightIt's like I did her so wrong but wanted her to be my wifeWanna pack up my clothes, my kids and catch us a flightThey gettin' olderI never wanted them to know how it feel to come from a broken homeMy fault, guess I did it all wrongPark the Rolls truck, ain't drove that thing in a minuteI don't even know why I bought it, really hate the attentionI said it was the look on my mama face when I did itBut really it was my pride, ready to say it ain't rentedCan't get lost in the sauce, caught in money competitionsWhats the point of an Instagram image when you got millions for real?You really got them millions for realSeven in the mornin', my shit buzzin' and bangin'All day my phone ring, ever since I been famousEverybody got the perfect scheme to get us some paperTryna make it seem it's best for me and it ain't no favorIf it wasn't for favors, they'll never call youSometimes I need someone to talk toSometimes this life can be confusingCall your friends and ask how they doin'[Chorus]I'm coolin', most days I just be coolin'Everybody got they own life and they own problemsThis life's too short for grudges, call 'emTo the girl who got my heart forever, open my lineTo my niggas down the road, one call at a timeMy phone never ring to see if I'm doing fineEven though I be so caught up on the grindCould you call me if I ever cross your mind?Do I ever cross your mind?If I ever cross your mindCall me if I ever cross your mindDo I ever cross your mind?If I ever cross your mindPlease, call me"
18,spotify:track:0wGVE3BxTW5KCjoLsNlVRB,Come See Me,Rod Wave,True,0.468,0.495,7,-10.671,0.167,0.717,0.0,0.11,0.171,114.227,74,"[Intro]I don't know if you love me anymoreI don't know if you love me like beforeJust tell me when to let goBaby, tell me when to let goDesirez beatsLook, look, mm[Verse]My momma told me to make it workBut Usher told me to let it burnI used to see you call my phone and get butterfliesThese days, my stomach turnI don't know why I think about you all the timeI was hopin' this is love and you ain't just down for the rideTell me what could make a grown man lay down and cry?Maybe what he thought was real lovе, he watched dieProblеms drive me insane, shit been wreckin' my brain (Brain)I've been poppin' these Percocets to cope with the pain (Uh-huh)Everyone think the root of my problem is a broken heart (Heart)But, ever since a juvenile, I been lonely and lost (Yeah)And you know when you met me, I didn't do drugs at all (At all)But got a dose of your love, hooked like Fentanyl (Fentanyl)They say the later you wait to quit, the harder you fall (You fall)You took me to your mountain tip and then you threw me offAnd then you threw me offOh, and then you threw me offThrew me off (Desirez beats)"
19,spotify:track:78Du4CMFgnhdlG33gblkiP,Rich Men North of Richmond,Oliver Anthony Music,False,0.678,0.264,10,-12.384,0.0622,0.753,0.0,0.302,0.528,121.722,88,"[Verse 1]I've been sellin' my soul, workin' all dayOvertime hours for bullshit paySo I can sit out here and waste my life awayDrag back home and drown my troubles away[Pre-Chorus]It's a damn shame what the world's gotten toFor people like me and people like youWish I could just wake up and it not be trueBut it is, oh, it is[Chorus]Livin' in the new worldWith an old soulThese rich men north of RichmondLord knows they all just wanna have total controlWanna know what you think, wanna know what you doAnd they don't think you know, but I know that you do'Cause your dollar ain't shit and it's taxed to no end'Cause of rich men north of Richmond[Verse 2]I wish politicians would look out for minersAnd not just minors on an island somewhereLord, we got folks in the street, ain't got nothin' to eatAnd the obese milkin' welfareWell, God, if you're five-foot-three and you're three-hundred poundsTaxes ought not to pay for your bags of Fudge RoundsYoung men are puttin' themselves six feet in the ground'Cause all this damn country does is keep on kickin' them down"
