,Unnamed: 0,uri,track_name,artist,explicit,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity,lyrics
69,69,spotify:track:5LrN7yUQAzvthd4QujgPFr,Here With Me,d4vd,False,0.571,0.458,4,-9.283,0.0258,0.544,9.27e-05,0.123,0.299,132.025,90,"[Verse 1]Watch the sunrise along the coastAs we're both getting oldI can't describe what I'm feelingAnd all I know is we're going homeSo, please don't let me goDon't let me go[Chorus]And if it's right, I don't care how long it takesAs long as I'm with you, I've got a smile on my faceSave your tears, it'll be okayAll I know is you're here with me[Post-Chorus]Ooh-ooh, oh, oh-ohOh-oh-oh-oh-oh[Verse 2]Watch the sunrise as we're getting old, oh-ohI can't describe, oh-ohI wish I could live through every memory againJust one more time before we float off in the windAnd all the time we spent waiting for the light to take us inHave been the greatest moments of my life"
71,71,spotify:track:3YfGTvsTAWGC2lgoDOikUz,One in a Million,Bebe Rexha,False,0.454,0.931,11,-4.083,0.0321,0.238,0.000623,0.289,0.462,137.945,83,"[Intro]Ah, you're my[Chorus]You're my one, one, one in a millionIt's like someone picked you outta the skyMaybe I met you for a reasonAnd I can't believe that we're both alive at the same timeIs this Heaven now? Am I dreamin' out? Am I dreamin'?You're my one, one, one in a millionAnd I can't believe that we're both alive at the same time[Build]And I can't believe that wе're both alive at the samе time[Drop][Verse](Ah)You got me speedin' through the red lightsYeah, I'm on my wayWe do it 'cause it feels rightYeah, you got me so[Pre-Chorus]HighI tripped and found paradiseNo lieI tripped and found paradise in your eyesIn your eyes, in your eyesIn your eyes, in your eyes (In your eyes, in your eyes)In your eyes"
72,72,spotify:track:5w40ZYhbBMAlHYNDaVJIUu,Chemical,Post Malone,True,0.498,0.897,2,-4.907,0.045,0.00136,0.0,0.118,0.373,169.902,88,"[Verse 1]Oxytocin makin' it all okayWhen I come back down, it doesn't feel the sameNow, I'm sittin' 'round waitin' for the world to end all day'Cause I couldn't leave you if I tried[Pre-Chorus]You break me, then I break my rulesLast time was the last time tooIt's fucked up, I know, but I'm still[Chorus]Outside of the party, smokin' in the car with youSeven-nation army fightin' at the bar with youTell you that I'm sorry, tell me what I gotta do'Cause I can't let go, it's chemicalNo, I can't let go, it's chemical[Verse 2]Every time I'm ready to make a change (Mhm)You turn around and fuck out all my brains (Woo)I ain't tryna fight fate, it's too late to save faceI can't get away, maybe there's no mistakes (Maybe there's no mistakes)[Pre-Chorus]You break me, then I break my rulesLast time was the last time tooIt's fucked up, I know, but I'm still, still"
74,74,spotify:track:0JXXNGljqupsJaZsgSbMZV,Sure Thing,Miguel,False,0.684,0.607,11,-8.127,0.1,0.0267,0.000307,0.191,0.498,81.001,89,"[Intro]Love you like a brotherTreat you like a friendRespect you like a lover[Refrain]Oh-ooh-oh, oh-ooh-oh, oh-ooh-oh (You could bet that, never gotta sweat that)Oh-ooh-oh, oh-ooh-oh, oh (You could bet that, never gotta sweat that)Yeah, yeah, yeah (You could bet that, never gotta sweat that)(You could bet that, never gotta sweat that) Yeah[Verse 1]If you be the cash, I'll be the rubber bandYou be the match, I will be a fuse, boom!Painter, baby, you could be the museI'm the reporter, baby, you could be the news'Cause you're the cigarette and I'm the smokerWe raise a bet 'cause you're the jokerChecked off, you are the chalkAnd I could be the blackboard, you can be the talkAnd I can be the walk, yeah-eah[Chorus]Even when the sky comes fallin'Even when the sun don't shineI got faith in you and ISo put your pretty little hand in mineEven when we're down to the wire, babeEven when it's do or dieWe could do it, baby, simple and plain'Cause this love is a sure thing, yeah"
75,75,spotify:track:6dgUya35uo964z7GZXM07g,Nonsense,Sabrina Carpenter,False,0.74,0.697,8,-4.912,0.034,0.0268,0.0,0.224,0.732,138.992,90,"[Intro]Oh-oh, oh-oh, oh-oh (Oh-oh, la-la)Da-ah, ah-ah, ah-ah-ahUh-huh, uh-huh, uh-huh, uh-huhYeah[Verse 1]Think I only want one number in my phoneI might change your contact to ""Don't Leave Me Alone""You said you like my eyes and you like to make 'em rollTreat me like a queen, now you got me feelin' thrown, oh[Pre-Chorus]But I can't help myself when you get close to meBaby, my tongue goes numb, sounds like ""bleh-blah-blee""I don't want no one else (No, no), baby, I'm in too deepHere's a lil' song I wrote (A song I wrote), it's about you and me (Me)[Chorus]I'll be honestLookin' at you got me thinkin' nonsenseCartwheels in my stomach when you walk inAnd when you got your arms around meOh, it feels so goodI had to jump the octaveI think I got an ex, but I forgot himAnd I can't find my chill, I must've lost itI don't even know, I'm talkin' nonsenseI'm talkin', I'm talkin' (Ah-ah-ah-ah)"
77,77,spotify:track:5YqEzk3C5c3UZ1D5fJUlXA,Sunroof,Nicky Youre,False,0.768,0.714,10,-5.11,0.0401,0.352,0.0,0.15,0.842,131.443,86,"[Intro]La-da, la-da-da, la-da-daLa-da, la-da-di-da-da, la-da-da-da-daLa-da, la-da-da, la-da-daLa-da, la-da-di-da[Chorus]I got my head out the sunroofI'm blastin' our favorite tunesI only got one thing on my mindYou got me stuck on the thought of youYou're makin' me feel brand newYou're more than a sunshine in my eyes[Verse]You got those pretty eyes in your head, you know itYou got me dancin' in my bed, so let me show itYou are exactly what I want, kinda cool and kinda notWanna give myself to you[Pre-Chorus]Yeah, we're drivin' down the freeway at nightI only got one thing in the back of my mind(You got me stuck on the thought of you)I'm feelin' like this might be my time to shineWith you, with you, with you"
78,78,spotify:track:1w4ft7YXphWqyk6DpaY290,Happy For You,RIELL,False,0.769,0.733,8,-4.82,0.0409,0.0654,0.0,0.143,0.834,129.98,49,"[Verse]I saw a letter with a heart in your bioAnd now it’s half a year since we last spokeSo why did it land like a knockout blow?Oh I try but I spiral (here we go)[Pre Chorus]Do you know her favorite songs, make nicer jokes?Do you dance around the kitchen and kiss her slow?I heard you’re loving her the way you couldn’t love meI heard you’re choosing her over everybody[Chorus]And now I try to be happy for youI heard you found somebody, somebody newAnd I know it’s the right thing to doBut you give her all the love, the love I gave to youAnd it’s killing me, killing meTo be happy for you, I’m not happy for youI try to be, try to beSo happy for you, I’m not happy for you[Verse]Guess I’m falling down the rabbit holeUndoing all my moving onOverthinking things I can’t controlCause I could give the world and it’d be not enough"
79,79,spotify:track:6UN73IYd0hZxLi8wFPMQij,Players,Coi Leray,True,0.954,0.516,6,-5.817,0.16,0.03,7.54e-06,0.0504,0.624,105.001,81,"[Chorus]Yeah, 'cause girls is players tooUh, yeah, yeah, 'cause girls is players too (Keep it player, baby)'Cause girls is players tooBitches gettin' money all around the world 'cause girls is players too[Verse 1]What you know about livin' on the top?Penthouse suites, lookin' down on the oppsTook him for a test drive, left him on the lotTime is money, so I spent it on a watchHold on, lil' titties showin' through the white teeYou can see the thong bustin' out my tight jeans (Okay)Rocks on my fingers like a nigga wifed meGot another shorty? She ain't nothin' like me[Refrain]Yeah, 'bout to catch another flightYeah, the apple bottom make him wanna biteYeah, I just wanna have a good nightI just wanna have a good nightHold up, if you don't know, now you knowIf he broke, then you gotta let him goYou could have anybody, eeny, miny, moe'Cause when you a boss, you could do what you want"
81,81,spotify:track:2L9N0zZnd37dwF0clgxMGI,ceilings,Lizzy McAlpine,False,0.516,0.322,9,-11.762,0.0292,0.473,0.00194,0.215,0.261,148.005,86,"[Verse 1]Ceilings, plasterCan't you just make it move faster?Lovely to be sitting here with youYou're kinda cute but it's raining harderMy shoes are now full of waterLovely to be rained on with youIt's kinda cute but it's so short[Chorus]Then you're driving me homeAnd I don't wanna leaveBut I have to goYou kiss me in your carAnd it feels like the start of a movie I've seen beforeBefore[Verse 2]Bed sheets, no clothesTouch me like nobody else doesLovely to just lay here with youYou're kinda cute and I would say all of thisBut I don't wanna ruin the momentLovely to sit between comfort and chaos[Chorus]But it's overThen you're driving me homeAnd it kinda comes out as I get up to goYou kiss me in your carAnd it feels like the start of a movie I've seen before"
82,82,spotify:track:7aDxQPHQmH5YZGf9yxIRnn,Falling Apart,Besomorph,False,0.738,0.678,7,-6.107,0.0406,0.303,0.0,0.272,0.264,110.023,49,"[Verse 1]Puzzle pieces falling to the floorTry to fit together butEvery time we try we fall apart[Pre-Chorus]OooohTry to run away but I don’t know what to doYeah[Chorus]CauseWe keep falling in love, falling in loveI try to quitMy heart just can’t get enough, can’t get enoughWith all these issuesWe keep falling in love, falling in loveI’m begging you to hold meEven if it hurts me[Verse 2]Waiting for the day to turn to nightLose our inhibitionsHow come feeling wrong can feel so right[Pre-Chorus]OooohTry to run away but I don’t know what to doYeah"
83,83,spotify:track:4C6Uex2ILwJi9sZXRdmqXp,Super Freaky Girl,Nicki Minaj,True,0.95,0.891,2,-2.653,0.241,0.0645,1.77e-05,0.309,0.912,133.01,77,"[Intro: Rick James & Nicki Minaj]She's alrightThat girl’s alright with me, yeahAyo (Hey, hey, hey, hey)[Pre-Chorus: Nicki Minaj]I can lick it, I can ride it while you slippin' and slidin'I can do all them little tricks and keep the dick up inside itYou can smack it, you can grip it, you can go down and kiss itAnd every time he leave me ’lone, he always tell me he miss it[Chorus: Nicki Minaj & Rick James]He want a F-R-E-A-K (Freaky girl)F-R-E-A-K (Freaky girl)A-K, A-K, A-KE-A-K (Freaky girl)F-R-E-A-K (Freaky girl)[Verse 1: Nicki Minaj]One thing about me, I'm the baddest aliveHe know the prettiest bitch didn't come until I arriveI don't let bitches get to me, I fuck they man if they tryI got a princess face, a killer body, samurai mindThey can't be Nicki, they so stupid, I just laugh when they tryA thong bikini up my ass, I think I'll go for a diveHis ex-bitch went up against me, but she didn't surviveOn applications I write ""pressure"" 'cause that’s what I apply (Brr)P-P-P-Pressure applied, can’t fuck a regular guyWetter than umbrellas and stickier than apple pie"
84,84,spotify:track:1q4BCQssFe74UJmnWt5lov,Lipstick,Charlie Puth,False,0.783,0.451,5,-9.195,0.0607,0.36,2.11e-06,0.0975,0.622,92.483,74,"[Chorus]Come and put your lipstick on my neck and my body (My baby)Just to show these bitches that you're mine (Mmh-ooh)Lipstick on my collar, show 'em you ain't no hobby (My baby)You're the one who gets it all the time (Ooh-ooh)[Verse 1]Baby, I think it's time we post a pictureTell your momma and your sister you got a man'Cause I'm your man (Yeah)And lately, I've been thinkin' 'bout the futureWe can make it more than rumorsThat I'm your man 'cause I'm your man (Yes)[Pre-Chorus]So you can go ahead and be selfishBaby, there ain't no reason to be jealousYeah, if you really want it, you don't gotta hold your tongue[Chorus]Come and put your lipstick on my neck and my body (My baby)Just to show these bitches that you're mine (Mmh-ooh)Lipstick on my collar, show 'em you ain't no hobby (My baby)You're the one who gets it all the time (Ooh-ooh)[Verse 2]Baby, I know this might sound kinda crazy, butWhat would you want to name the baby?No, I'm just playin', but I'm just sayin'The moon, the stars, I'll raise the barI stay kissing you in public and holdin' your hand'Cause I'm your man"
85,85,spotify:track:0QHEIqNKsMoOY5urbzN48u,Made You Look,Meghan Trainor,False,0.838,0.525,10,-3.562,0.0665,0.345,1.92e-06,0.0771,0.884,144.981,85,"[Chorus]I could have my Gucci onI could wear my Louis VuittonBut even with nothin' onBet I made you look (I made you look)[Verse 1]I'll make you double take soon as I walk awayCall up your chiropractor just in case your neck breakOoh, tell me what you, what you, what you gon' do, ooh'Cause I'm 'bout to make a scene, double up that sunscreenI'm 'bout to turn the heat up, gonna make your glasses steamOoh, tell me what you, what you, what you gon' do, ooh[Pre-Chorus]When I do my walk, walkI can guarantee your jaw will drop, drop'Cause they don't make a lot of what I got, gotLadies, if you feel me, this your bop, bop (Bop, bop, bop)[Chorus]I could have my Gucci on (Gucci on)I could wear my Louis VuittonBut even with nothin' onBet I made you look (I made you look)Yeah, I look good in my Versacе dress (Take it off)But I'm hotter whеn my morning hair's a mess'Cause even with my hoodie onBet I made you look (I made you look)Mhm-hm-hm"
88,88,spotify:track:3b5MPNYlX8ztJowxAwzTai,Winner,Conan Gray,False,0.425,0.51,0,-4.838,0.0291,0.118,0.0,0.342,0.159,139.972,76,"[Verse 1]Packed my bags at fourteenI hadn't planned on leavingBut you haven't been back home for daysThe pots and pans and roachesThey're glad I'm finally goin''Cause, even them, they shudder at your name[Pre-Chorus]You don't really want to hear the truth, do you?It's obvious to anyone who ever knew youThat all you ever want is to be rightEven if that means you gotta lie to do itThe only thing you've proven[Chorus]Is that there's no oneWho ever has done betterAt makin' me feel worseNow you rеally are the winnerYеah, there's nothingThat ever did quite kill meMore than what you didNow you really are the winnerTake a bow 'cause you're the winner"
89,89,spotify:track:4FyesJzVpA39hbYvcseO2d,Just Wanna Rock,Lil Uzi Vert,True,0.486,0.545,11,-7.924,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,83,"[Intro]Ah, ah, ah, ahAh, ah, ahI just wanna rockBody-ody, yeah (Shake it down)[Chorus]DamnDamn(MC, make another hit) WoahThis ain't what you want (Project-Project X)This ain’t what you wantThis ain't what you want[Verse]Ha, 1600 block, I just wanna rock (Shake it down)I just wanna, ah, ah, ah, ah, ah, ah, ahI just wanna rock, body-ody, yeah (Shake it down)Shawty got that body-ody, ah, ah, ah (Shake it down)Hit it once, no ties (Shake it-shake it)How the fuck you gon' kill my vibe? (Shake it down)Stand on my money, don’t know my size (Shake it-shake it)Pick them sides, and you better choose wisely (Shake it-shake it down-down)That's my high, one, two, three, four, throw up the five  (Shake it-shake it)That's my high"
92,92,spotify:track:3p7XQpdt8Dr6oMXSvRZ9bg,Eyes Closed,Ed Sheeran,False,0.793,0.52,11,-7.457,0.0696,0.246,0.0,0.0878,0.309,107.014,85,"[Verse 1]I know it's a bad ideaBut how can I help myself?Been inside for most this yearAnd I thought a few drinks, they might helpIt's been a while, my dearDealin' with the cards life dealtI'm still holdin' back these tearsWhile my friends are somewhere else[Pre-Chorus]I pictured this year a little bit different when it hit FebruaryI step in the bar, it hit me so hard, oh, how can it be this heavy?Every song reminds me you're gone and I feel thе lump form in my throat'Cause I'm here alonе[Chorus]Just dancin' with my eyes closed'Cause everywhere I look, I still see youAnd time is movin' so slowAnd I don't know what else that I can doSo I'll keep dancin' with my[Post-Chorus]Eye-eye-eye-eyesEye-eye-eye-eyes closedEye-eye-eye-eyesSo I'll keep dancin' with my"
96,96,spotify:track:3AlfzYBSXvI5Bhbqm5iuSn,Antis,RIELL,False,0.688,0.56,11,-7.831,0.051,0.562,0.0,0.337,0.219,120.128,46,"[Verse]Someone says a joke, and it’s funny so I laugh, but I didn’t feel itMy ex hit me up so I cried but I didn’t mean itAnd I think that I kinda like this not really feelingAntis got me some type of way[Chorus]I’m floating up in spaceNobody’s real this wayI might be not okayBut it doesn’t feel that way when I medicate[Verse]Now it’s been a while since I tried to let out all the pain through bleedingThink this is a first, a full night of me truly sleepingYeah I miss the highs, but I’m scared to feel all my feelingsAntis got to go some day[Chorus]I’m floating up in spaceNobody’s real this wayI might be not okayBut it doesn’t feel that way when I medicateI’m hoping with therapyMy mind will stop hating meI might be fine one dayBut it doesn’t feel that way whеn I medicate"
98,98,spotify:track:1rrqJ9QkOBYJlsZgqqwxgB,Rush,Ayra Starr,False,0.792,0.503,1,-8.044,0.0626,0.0369,0.00057,0.0959,0.381,99.97,79,"[Intro]VibezTa-ta-riTa-ta-ri-pa, ta-ta-riTa-ta-ri-pa, ta-ta-ri, pa[Verse 1]Sabi girl no dey too like talkAnimals dey in human formPadi man, nobody like workBut you must hustle if you wan chopE no finish, dem wan fight usIf dem dey run, dem no fit catch upI no dey form say I too righteousNo come dey form say you too like us[Pre-Chorus]Me no get the time for the hate and the bad energyGot my mind on my moneyMake you dance like Poco LeeSteady green like broccoliSteady on my grind no wan hear what they wan telly meKudi na my fantasyDem wan dey check if my tap e no rush[Chorus]But e dey rush (E dey rush)E dеy rush well well, e bе much (E be much)Na God dey make my tap, e dey rushThe kind money we touch, yeahE dey rush (E dey rush)E dey rush well well, e be much (E be much)No be hype, everybody dey crushThere's no dulling with us (There's no dulling with us)"
100,100,spotify:track:76OGwb5RA9h4FxQPT33ekc,SNAP,Rosa Linn,False,0.565,0.636,0,-8.198,0.0638,0.107,9.9e-06,0.447,0.525,170.01,88,"[Verse 1]It's 4 AMI can't turn my head offWishing these memories would fade, they never doTurns out people lieThey said, ""Just snap your fingers""As if it was really that easy for me to get over you[Pre-Chorus]I just need time[Chorus]Snappin' one, twoWhere are you?You're still in my heartSnappin' three, fourDon't need you here anymoreGet out of my heart'Cause I might snap[Verse 2]I'm writin' a songSaid, ""This is the last one""How many last songs are left? I'm losing countSince June 22ndMy heart's been on fireI've been spendin' my nights in the rain tryin' to put it out"
103,103,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,Bad Habit,Steve Lacy,True,0.686,0.494,1,-7.093,0.0355,0.613,5.8e-05,0.402,0.7,168.946,83,"[Intro: Steve Lacy & Fousheé]I wish I knew you wanted meI wish I knewI wish I knew you wanted meI wish I knewI wish I knew you wanted me[Verse 1: Steve Lacy]What you, ooh, uh, what you do?Made a move, could've made a moveIf I knew I'd be with youIs it too late to pursue?[Chorus: Steve Lacy]I bite my tongue, it's a bad habitKinda mad that I didn't take a stab at itThought you were too good for me, my dearNever gave me time of day, my dearIt's okay, things happen forReasons that I think are sure, yeah[Post-Chorus: Steve Lacy & Fousheé]I wish I knewI wish I knew you wanted me (I wish I knew)I wish I knew (Oh)I wish I knew you wanted meI wish I knew (Yeah)I wish I knew you wanted me (Oh)I wish I knewI wish I knew you wanted me"
104,104,spotify:track:7sliFe6W30tPBPh6dvZsIH,Area Codes,Kaliii,True,0.823,0.388,1,-10.867,0.491,0.0187,0.0,0.0876,0.507,154.569,82,"[Intro]Yeah, yeah (28Shit)KaliYou know I love me a motherfuckin' trick (Yeah)[Verse 1]Got a white boy on my rosterHe be feeding me pasta and lobsterHe just hit me up on Tuesday like, ""What you doing, bae?Let me take you shoppin'"" (Brr)I told him, ""Well, I'm a little busy"" (Damn)He said, ""Damn, I'm in your city (Fuck)But anyway, it's okay, hope you have a good dayI'ma send you 'bout eight fifty"" (Ooh)Then I told him, ""You treat me so well"" (Uh)He said, ""Cash App or Zelle? (Ching)Matter of fact, scratch that, I'ma send you a stackJust cause you fine as hell""And I told him, ""Well, thank you, baby"" (Thank you)""Anything for my favorite lady"" (Ooh)Well, I gotta go, they just let me knowThat I could pick up my Mercedes (Skrrt)[Chorus]I got hoes (Might just be your nigga)In different area codes (He know what's up)Everywhere I go (Every time I pop out)I call and they drop the lo' (Come drop that fuckin' location)'Cause I got hoes (Might just be your bitch)In different area codes (She know what's up)Some of 'em bros (Could be your daddy)And I'm big pimpin' 'cause they know (They know what's up)"
105,105,spotify:track:1ERFhctkk5lhGZAStRmcQE,Best U Had,Gloria Kim,False,0.569,0.849,0,-6.589,0.124,0.25,4.07e-05,0.154,0.356,165.962,46,{Verse 1}It’s strangeThis feelingSeeing you here after 7 whole yearsI’d sworeI’d loathe youFor wasting my time and all of my tears{Pre}Oh youYou got some nerve to call me out and say helloYou play it cool but I see through the way you areYou got some nerve to show your face here all aloneAll alone{Chorus}I know I’m the best you ever hadNow you gotta liveLive with thatCouldn’t find no one that’s quite like meCouldn’t fill my void easilyI know I’m the best you ever hadNow you wonder why I won’t go backCouldn’t lose myself again to youI’m the best you had and we both knew
106,106,spotify:track:1xK59OXxi2TAAAbmZK0kBL,Romantic Homicide,d4vd,False,0.571,0.544,6,-10.613,0.0299,0.453,0.00805,0.322,0.216,132.052,90,"[Verse 1]I'm scared (Oh-oh-oh)It feels like you don't care (Ooh-ooh)Enlighten me, my dear  (Ooh-ooh-ooh)Why am I still here? Mm (Oh-oh)I don't mean to beComplacent with the decisions you madeBut why? Mm[Verse 2]In the back of my mindYou diedAnd I didn't even cryNo, not a single tearAnd I'm sick of waiting patientlyFor someone that won't even arrive[Bridge]Ooh-ooh-ooh-ooh-ooh-oh[Verse 3]In the back of my mindI killed youAnd I didn't even regret itI can't believe I said itBut it's trueI hate you"
109,109,spotify:track:6abqqL8a4GPxy4EtiJ6chW,Love So Good,Jaeger,True,0.57,0.659,9,-6.852,0.0665,0.0558,0.0,0.0964,0.434,148.022,38,"[Verse 1]Does he hold you the way I used to?She can’t do it the way that you do(The way that you do)The way that you doYou’re running through my mind like voodooDo you regret the chance that you blew?‘Cause I know that I do[Pre-Chorus]I’d rather be with you, you, youYour brown eyes over blue, blue, blueShe says that it takes two (my love)But my thoughts lead back to you, you, youI’d rather be with you, you, youYour brown eyes over blue, blue, blueShe says that it takes two (my love)But my thoughts lead back to you, you, you[Chorus]Love so good, got me feelin' likе a bad guyTell you how to move, girl your body got me so highI fuckеd up, tell me baby do you want us too?I fucked up, baby she ain’t even half of you"
110,110,spotify:track:4tRhRLBxIZ34Iw0eCuiC03,Miss You,southstar,True,0.663,0.559,6,-12.876,0.0391,0.136,0.0894,0.108,0.296,145.007,73,"[Verse: Julian Perretta]Don't remind meI'm mindin' my own damn businessDon't try to find meI'm better left alone than in thisIt doesn't surprise meDo you really think that I could care?If you really don't like meFind somebody else, it could be anyone else out there[Chorus: Julian Perretta]Don't fretI don't ever wanna see youAnd I never wanna meet you againOne thingWhen you're angry, you're a jerkAnd then you treat me like I'm worth nothin'Don't fretI don't ever wanna see youAnd I nеver wanna meet you againIt'll happen againI watch it happen ovеr and over againDon't fretI don't ever wanna see youAnd I never wanna meet you againOne thingWhen you're angry, you're a jerkAnd then you treat me like I'm worth nothin'"
112,112,spotify:track:5odlY52u43F5BjByhxg7wg,golden hour,JVKE,False,0.515,0.593,4,-4.801,0.0322,0.653,0.162,0.25,0.153,94.467,86,"[Verse 1]It was just two loversSittin' in the car, listenin' to BlondeFallin' for each otherPink and orange skies, feelin' super childishNo Donald GloverMissed call from my motherLike, ""Where you at tonight?""Got no alibi[Pre-Chorus]I was all alone with the love of my lifeShe's got glitter for skinMy radiant beam in the nightI don't need no light to see you[Chorus]ShineIt's your golden hour (Oh-oh-oh)You slow down timeIn your golden hour (Oh-oh-oh)[Verse 2]We were just two loversFeet up on the dash, drivin' nowhere fastBurnin' through the summerRadio on blast, make the moment last, she got solar powerMinutes feel like hoursShe knew she was the baddestCan you even imagine fallin' like I did?"
114,114,spotify:track:1PckUlxKqWQs3RlWXVBLw3,About Damn Time,Lizzo,True,0.836,0.743,10,-6.305,0.0656,0.0995,0.0,0.335,0.722,108.966,78,"[Intro]Anyway[Verse 1]It's bad bitch o'clock, yeah, it's thick-thirtyI've been through a lot, but I'm still flirty (Okay)Is everybody back up in the buildin'?It's been a minute, tell me how you're healin''Cause I'm about to get into my feelingsHow you feelin'? How you feel right now?[Pre-Chorus]Oh, I been so down and under pressureI'm way too fine to be this stressed, yeahOh, I'm not the girl I was or used to be, uhBitch, I might be better[Chorus]Turn up the music, turn down the lightsI got a feelin' I'm gon' be alrightOkay (Okay), alrightIt's about damn time (Time)Turn up the music, let's celebrate (Alright)I got a feelin' I'm gon' be okayOkay (Okay), alrightIt's about damn time"
115,115,spotify:track:5ww2BF9slyYgNOk37BlC4u,La Bachata,Manuel Turizo,False,0.835,0.679,7,-5.329,0.0364,0.583,1.98e-06,0.218,0.85,124.98,86,"[Letra de ""La Bachata""][Verso 1]Te bloqueé de Insta, pero por otra cuenta veo tus historias (Oh-oh-oh)Tu número lo borré; no sé pa' qué si me lo sé de memoriaMe hiciste daño, y así te extrañoY aunque sé que un día te voy a olvidarAún no lo hago, es complicadoTo' lo que hicimo' me gusta recordar[Coro]Ando manejando por las calles que me besasteOyendo las canciones que un día me dedicasteTe diría que volvieras, pero eso no se pideMejor le pido a Dios que me cuidePorque ando manejando por las calles que me besasteOyendo las canciones que un día me dedicasteTe diría que volvieras, pero eso no se pideMejor le pido a Dios que me cuide, eh[Verso 2]Que me cuide de otra que se parezca a tiNo quiero caer como hice por tiOjalá te enamore, te haga lo mismo que me hiciste a míTú me enseñaste a no amar a cualquieraY también cómo no quiero que me quieranNo-oh-oh, éramos tres en una relación de dosNo te perdono, pídele perdón a DiosDije que te olvidé y la verdad e' que yo-oh-ohYo-oh-oh"
116,116,spotify:track:0iCsRcu5mugWVlCMpD7wb1,K Toven,Kaliii,True,0.669,0.73,1,-8.574,0.206,0.354,0.00388,0.204,0.457,149.897,68,"[Intro]Kaliii[Chorus]Heard them bitches say they outsideWhere they at? We gon' slide (Where they at?)Runnin' through his bag like it's mineSaid I love him, I was lyin' (Haha)Got a whole squad full of dimes (What?)Who bombs? Not mine (Not mine)Bitch call my phone 'bout a nigga (Brrt)I got her mad (What?) I declined (Haha)[Verse 1]Ayy, this pussy gon' drive you wild (Yeah)Why broke bitches always so loud?Boy never got your kids, bitch, get your child (Haha)Don't touch my hair but we can get wild (Wild)Ayy, like dum, du-du-dum-dumEvery day, a new bitch mad, where you come from?Botched ass body, bitch built like a Dum DumPressed 'bout a broke nigga[Chorus]Heard them bitches say they outsideWhere they at? We gon' slide (Where they at?)Runnin' through his bag like it's mineSaid I love him, I was lyin' (Haha)Got a whole squad full of dimes (What?)Who bombs? Not mine (Not mine)Bitch call my phone 'bout a nigga (Brrt)I got her mad (What?) I declined (Uh-huh)"
120,120,spotify:track:7mFj0LlWtEJaEigguaWqYh,Sweetest Pie,Megan Thee Stallion,True,0.814,0.628,7,-7.178,0.221,0.167,0.0,0.101,0.677,123.977,73,"[Intro: Dua Lipa](Mano)You've never been to Heaven, have you?(OG Parker)[Chorus: Dua Lipa & Megan Thee Stallion]Ooh, this the ride of your lifeHold on 'cause, baby, I mightI might just give you a bite of the sweetest pie (Yeah, yeah, yeah, ah)Ooh, baby, we can go fastI'll drive and you just lay backI got the flavour that lasts, yeah, the sweetest pie (Uh-huh, uh-huh)I might take you home with this, I might give you all of it (Yeah)Come get your dose of the sweetest pieOoh, this the ride of your lifeHold on 'cause, baby, I mightI might just give you a bite of the sweetest pie (Uh-huh, uh-huh)[Verse 1: Megan Thee Stallion]Baby, I'm the sweetest, pussy is the meanest (Yeah)Hot girl shit, but I'm cold every season (But I'm)Know he got that pipe, let him bust it 'til it's leakin' (Yeah, mwah)Booty like a pillow, he can use it while he's sleepin' (Look)Don't be goin' through my phone 'cause that's the old me (Old me)Ain't the only one tryna be my one and only (Tryna)Real thick, movin' slow, that body like codeineHe a player, but for Megan, he cuttin' the whole team (Hey, hey, hey, hey)That body lookin' nice (Lookin' nice)I got cake and I know he want a sliceI wish a nigga would try to put me on ice (Brrr)I ain't never had to chase dick in my life (Dick in my life)I like that nasty, that freaky stuff (Freaky stuff)Slip under my bed and keep me up (Hey)That Hansel and Gretel, let him eat me up (Ah)Uh, uh, uh, uh, uh"
121,121,spotify:track:2bdVgAQgosGUJoViVDNeOV,LIMBO,keshi,True,0.577,0.366,8,-11.792,0.0368,0.879,7.76e-05,0.137,0.0841,129.923,82,"[Intro]OohOoh-ooh-ooh-oohOoh-ooh-ooh-ooh, oohOoh-ooh, oohOoh-ooh-ooh-ooh, oohOoh-ooh, ooh[Verse 1]I just been goin' through motions, back and forth like a oceanI am a fraud, I am the shit, hoping that nobody noticeBang chest in the morning, head down in the nightDrink less if I wanted, strike up with the lightAnd square up, I’m the mightestMyself in the fight, hurt twice but I tried itNo advice for this shit, might die for this shitDo I feel alive, feel alive, feel alive?[Chorus]Feel more like limbo, hands out my windowChasin' that sunset, that's more my tempoYeah, that’s more my tempoOoh, but this is all that I amI only show you the best of meThe best of me"
