,Unnamed: 0,uri,track_name,artist,explicit,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity,lyrics
24,24,spotify:track:36I3zoyOK2pbpakqesPj4U,My Ghost,RIELL,False,0.56,0.443,3,-8.827,0.048,0.324,2.99e-06,0.0989,0.169,149.765,46,"[Verse]You taste like sinI wish I couldn’t rememberYour touch wickedI’m haunted by your lips on my skin[Chorus]My Ghost, I can’t shake youMy Ghost, I feel you in my bonesNo matter where I run toNo matter where I goMy Ghost, I still feel you[Verse]Your love is cheapSo one-sided, so conditioned, so greedyBut still I let you bleed me dryYour best defense made in the back of my mind[Chorus]My Ghost, I can’t shake youMy Ghost, I feel you in my bonesNo matter where I run toNo matter where I goMy Ghost, I still feel you"
26,26,spotify:track:3xIMkM5LgbVDkpO74O3Np3,Rush,Troye Sivan,True,0.742,0.839,5,-7.614,0.0618,0.00306,4.2e-05,0.106,0.346,126.03,88,"[Intro]I feel the rushAddicted to your touch[Verse 1]Big communication, tell me what you wantTranslate your vibration, let your body talk to meBaby love, if you wanna show me whatYou've been schemin' up, if you wanna (Let go)Trust the simulation, don't you let it breakEvery stimulation, promise I can takeWhat you wanna give? Boy, you better show me whatYou've been schemin' up[Pre-Chorus]You got my heartbeat racin'My body blazin'[Chorus]I feel the rushAddicted to your touchOh, I feel the rushIt's so good, it's so goodI feel the rushAddicted to your touchOh, I feel the rushIt's so good, it's so good"
27,27,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,SZA,False,0.644,0.735,8,-5.747,0.0391,0.0521,0.144,0.161,0.418,88.98,91,"[Verse 1]I'm still a fan even though I was saltyHate to see you with some other broad, know you happyHate to see you happy if I'm not the one drivin'[Pre-Chorus]I'm so mature, I'm so matureI'm so mature, I got me a therapist to tell me there's other menI don't want none, I just want youIf I can't have you, no one should[Chorus]I mightI might kill my ex, not the best ideaHis new girlfriend's next, how'd I get here?I might kill my ex, I still love him thoughRather be in jail than alone[Verse 2]I get the sense that it's a lost causeI get the sense that you might really love herThis text gon' be evidence, this text is evidenceI tried to ration with you, no murders or crime of passion, but damnYou was out of reachYou was at the farmer's market with your perfect peachNow I'm in the basement plannin' home invasionNow you layin' face-down, got me singin' over a beat"
29,29,spotify:track:41WQUSINanQHfhfKpFDsms,Used To Be Young,Miley Cyrus,False,0.451,0.632,4,-3.843,0.0475,0.6,0.0,0.139,0.455,147.06,84,"[Verse 1]The truth is bulletproof, there's no foolin' youI don't dress the sameMe and who you say I was yesterdayHave gone our separate waysLeft my livin' fast somewhere in the past'Cause that's for chasin' carsTurns out open bars lead to broken heartsAnd goin' way too far[Chorus]I know I used to be crazyI know I used to be funYou say I used to be wildI say I used to be youngYou tell me time has done changed meThat's fine, I've had a good runI know I used to be crazyThat's 'causе I used to be young[Verse 2]Take onе, pour it out, it's not worth cryin' 'boutThe things you can't eraseLike tattoos and regrets, words I never meantAnd ones that got awayLeft my livin' fast somewhere in the pastAnd took another roadTurns out crowded rooms empty out as soonThere's somewhere else to go, oh-oh"
33,33,spotify:track:2Rn2ocU7jk8BqFoh6zwf1Y,Got Me Started,Troye Sivan,True,0.768,0.691,7,-6.489,0.0314,0.18,0.00171,0.374,0.543,127.003,83,"[Verse 1]He's got the personality not even gravity could ever hold him downHe's got the sexuality of a man who can take a room and drown it outYeah[Pre-Chorus]Inchin' closer to sunriseNow we're standin' eye to eyeI wanna tell you what's on my—On my mind (Let's go)[Chorus]You just got me startedAnd I don't think I can stop itAnd I don't wanna go home alone, alright?Oh, baby, babyBoy, can I be honest?Kinda miss usin' my bodyFuck it up just like this party did tonightOh, baby, baby[Post-Chorus]Yeah, yeahI want it, grip you tightI've seen enough of your bodyCome back and feel the vibe"
35,35,spotify:track:6Py0YyWzj4Hb0MO64jAJQr,all of you,Gloria Kim,False,0.637,0.723,1,-5.801,0.0711,0.0486,0.0,0.169,0.228,120.056,49,"[Verse 1]I was the one to build you upI was the only one in this townI cradled your egos and your bluffsMade you so untouchableThat's what I'd do[Pre]When I was ride or dieTil you went astrayBarely took some monthsFor you to changeNow you're really onto someone newAfter what I made of you[Chorus]Now somebody's getting all your timeSomebody's voice is on your lineSomebody's in your bed tonightSomebody's getting you, youOh all of you[Verse 2]There you go running your mouthThinking I did the sameSo here I am laying it outTo set the record straightHow could I evеr hold you downFrom a different stateHow you point your fingеrAs if I'm the cheater"
40,40,spotify:track:19eUFBAnHBuTz6TCJXhu7h,American Town,Ed Sheeran,False,0.74,0.652,0,-5.668,0.0601,0.736,0.0,0.348,0.715,105.025,75,"[Verse 1]We're a long way from homeHaven't seen you in so longBut it all came back in one momentAnd the year started coldBut I didn't notice at allWhen we found there's a room we're both in[Pre-Chorus]We get Chinese food in small white boxesLive the life we saw in FriendsYour room, it barely fits the mattressWake up, leave for work againThe wind, it seems to blow right through usDown jackets are the trendThe rush of rushing deep into love[Chorus]English girl in an American townNo elevator to the fifth floorI'll ring on the buzzer, then you'll be right downI wish time would freezeDungarees over the hoodie, we're outFeet are three feet off the groundLost in love and we don't wanna be foundIt's just you and meMy English girl in an American townIn an American town"
43,43,spotify:track:7ABLbnD53cQK00mhcaOUVG,LALA,Myke Towers,True,0.708,0.737,1,-4.045,0.0436,0.0739,0.00162,0.0955,0.607,91.986,97,"[Letra de ""LALA""][Intro]La-la-la-la-la-la (Full Harmony)La-la-la-la-la-laLa-la-la-la-la-laLa-la-la-la[Verso 1]Todo está bien, no te tienes que estresarA ti yo sola no te dejaréMe enchulé la primera vez que la viMe enamoré cuando con ella bailéDesde hace rato se quería pegarPuso la espalda contra la paredY si yo bajo sabe qué le haré[Estribillo]La-la-la-la-la-laTú quieres, mami (La-la-la-la-la-la)Se le viran los ojo' (La-la-la-la-la-la)La miro y se relambe (La-la-la-la-la-la)El pintalabio' rojo (La-la-la-la-la-la)Esa cintura suelta (La-la-la-la-la-la)Baby, si yo te cojo (La-la-la-la-la-la)Te subo a la altura (La-la-la-la-la-la)Tú dime y te recojo (La-la-la-la-la-la)"
46,46,spotify:track:0V3wPSX9ygBnCm8psDIegu,Anti-Hero,Taylor Swift,False,0.637,0.643,4,-6.571,0.0519,0.13,1.8e-06,0.142,0.533,97.008,92,"[Verse 1]I have this thing where I get older, but just never wiserMidnights become my afternoonsWhen my depression works the graveyard shift, all of the peopleI've ghosted stand there in the room[Pre-Chorus]I should not be left to my own devicesThey come with prices and vicesI end up in crisis(Tale as old as time)I wake up screaming from dreamingOne day, I'll watch as you're leaving'Cause you got tired of my scheming(For the last time)[Chorus]It's me, hiI'm the problem, it's meAt teatime, everybody agreesI'll stare directly at the sun, but never in the mirrorIt must be exhausting always rooting for the anti-hero[Verse 2]Sometimes, I feel like everybody is a sexy babyAnd I'm a monster on the hillToo big to hang out, slowly lurching toward your favorite cityPierced through the heart, but never killed"
50,50,spotify:track:2i2gDpKKWjvnRTOZRhaPh2,Moonlight,Kali Uchis,False,0.639,0.723,7,-6.462,0.0532,0.511,0.0,0.167,0.878,136.872,88,"[Chorus]I just wanna get high with my loverVeo una muñeca cuando miro en el espejoKiss, kiss, looking dolly, I think I may go out tonightI just wanna ride, get high in the moonlightI just wanna get high with my loverVeo una muñeca cuando miro en el espejoKiss, kiss, looking dolly, I think I may go out tonightI just wanna ride, get high in the moonlight[Verse 1]Forget the small talkThe surface level ain't much that I care forPutting on my lip glossI saw you stare from my peripheral, yeah[Pre-Chorus]Baby, it's been a hell of a dayBut I know a place we can escapeFind out how it feels to let go of everything, be freeWhen you're here with me[Chorus]I just wanna get high with my loverVeo una muñeca cuando miro en el espejoKiss, kiss, looking dolly, I think I may go out tonightI just wanna ride, get high in the moonlightI just wanna get high with my loverVeo una muñeca cuando miro en el espejoKiss, kiss, looking dolly, I think I may go out tonightI just wanna ride, get high in the moonlight"
