,uri,track_name,artist,explicit,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity,lyrics
25,spotify:track:4ZtFanR9U6ndgddUvNcjcG,good 4 u,Olivia Rodrigo,True,0.563,0.664,9,-5.044,0.154,0.335,0.0,0.0849,0.688,166.928,87,"[Intro](Ah)[Verse 1]Well, good for you, I guess you moved on really easilyYou found a new girl and it only took a couple weeksRemember when you said that you wanted to give me the world?(World)And good for you, I guess that you've been workin' on yourselfI guess that therapist I found for you, she really helpedNow you can be a better man for your brand-new girl (Girl)[Chorus]Well, good for youYou look happy and healthy, not meIf you ever cared to askGood for youYou're doin' great out there without me, babyGod, I wish that I could do thatI've lost my mind, I've spent the nightCryin' on the floor of my bathroomBut you're so unaffected, I really don't get itBut I guess good for you[Verse 2]Well, good for you, I guess you're gettin' everything you want (Ah)You bought a new car and your career's really takin' off (Ah)It's like we never even happenedBaby, what the fuck is up with that? (Ah)And good for you, it's like you never even met meRemember when you swore to God I was the onlyPerson who ever got you? Well, screw that, and screw youYou will never have to hurt the way you know that I do"
28,spotify:track:7BoobGhD4x5K96Me0hqC8Q,Build a Bitch,Bella Poarch,True,0.855,0.463,3,-7.454,0.0367,0.217,1.77e-05,0.347,0.866,102.931,74,"[Chorus]This ain't Build a Bitch (A bitch)You don't get to pick and chooseDifferent ass and bigger boobsIf my eyes are brown or blueThis ain't Build a Bitch (A bitch)I'm filled with flaws and attitudeSo if you need perfect, I'm not built for you (Yeah)[Verse 1]Bob the Builder broke my heartTold me I need fixingSaid that I'm just nuts and boltsLotta parts were missingCurvy like a cursive fontVirgin and a vixenThat's the kind of girl he wantsBut he forgot[Chorus]This ain't Build a Bitch (A bitch)You don't get to pick and chooseDifferent ass and bigger boobsIf my eyes are brown or blueThis ain't Build a Bitch (A bitch)I'm filled with flaws and attitudeSo if you need perfect, I'm not built for you (One, two, three, ooh)"
29,spotify:track:0ClPIeT6MSgfSgQ9ZrJbAq,Cheating on You,Charlie Puth,False,0.749,0.535,4,-6.785,0.0336,0.0131,3.65e-05,0.0982,0.601,123.042,78,"[Verse 1]It started with a kissOn your mama's couch2012 was nothing seriousAnd then we caught the feelsIt got really realToo good to be trueI guess I thought you was, yeah[Pre-Chorus]Why did I run away, run away, run away?Oh, your love was everything, everything, everythingI know it's gettin' late, gettin' late, gettin' lateBut can I still be on my way, on my way? Yeah[Chorus]I know I said goodbye and, baby, you said it tooBut when I touch her, I feel like I'm cheating on youI thought that I'd be better when I found someone newBut when I touch her, I feel like I'm cheating on you[Post-Chorus]Baby, no, oh, cheating on youBaby, noBut when I touch her, I feel like I'm cheating on you"
30,spotify:track:39LLxExYz6ewLAcYrzQQyP,Levitating,Dua Lipa,False,0.695,0.884,6,-2.278,0.0753,0.0561,0.0,0.213,0.914,103.014,82,"[Verse 1]If you wanna run away with me, I know a galaxyAnd I can take you for a rideI had a premonition that we fell into a rhythmWhere the music don't stop for lifeGlitter in the sky, glitter in my eyesShining just the way I likeIf you're feeling like you need a little bit of companyYou met me at the perfect time[Pre-Chorus]You want me, I want you, babyMy sugarboo, I'm levitatingThe Milky Way, we're renegadingYeah, yeah, yeah, yeah, yeah[Chorus]I got you, moonlight, you're my starlightI need you all night, come on, dance with meI'm levitatingYou, moonlight, you're my starlight (You're the moonlight)I need you all night, come on, dance with meI'm levitating[Verse 2]I believe that you're for me, I feel it in our energyI see us written in the starsWe can go wherever, so let's do it now or neverBaby, nothing's ever, ever too farGlitter in the sky, glitter in our eyesShining just the way we areI feel like we're forever every time we get togetherBut whatever, let's get lost on Mars"
31,spotify:track:52CBUrIdyf8tbZaUY9iawE,After School,Weeekly,False,0.634,0.928,1,-1.609,0.0514,0.00719,2.55e-06,0.0626,0.738,164.007,69,"[위클리 ""After School"" 가사][Verse 1: Jaehee, Soojin]띠링, 이따 거기서 보는 거 맞지?시간 잘 맞춰 늦으면 반칙시계만 자꾸 보는 걸(Oh-ooh-woah-ooh, oh-ooh-woah-ooh)난 이미 교복 치마 대신 체육복 바지복도 끝까지 달려갈 준비마지막 종소리가 울리면(Oh-ooh-woah-ooh, oh-ooh-woah-ooh)[Pre-Chorus: Jiyoon, Soeun]벌써 저기 오렌지빛 하늘이 짙어지는 걸어서 머뭇거리다간 금세 어두워질 걸[Chorus: Monday, Jihan, Jaehee]우린 스케이트보드 위로마치 춤을 추듯 발을 굴러바람 그 사이를 가로질러여기저기 멀리 아주아주 멀리저 끝까지[Post-Chorus: Soeun, Jaehee, Zoa, Monday]I'm so good with you따라와 catch up!두 눈을 맞추고 긴 머리 날리고Ready, set, go! Feel it자유로운 기분인 걸"
36,spotify:track:3Ofmpyhv5UAQ70mENzB277,Astronaut In The Ocean,Masked Wolf,True,0.778,0.695,4,-6.865,0.0913,0.175,0.0,0.15,0.472,149.996,77,"[Intro]Astronaut[Chorus]What you know about rollin' down in the deep?When your brain goes numb, you can call that mental freezeWhen these people talk too much, put that shit in slow motion, yeahI feel like an astronaut in the ocean, ayyWhat you know about rollin' down in the deep?When your brain goes numb, you can call that mental freezeWhen these people talk too much, put that shit in slow motion, yeahI feel like an astronaut in the ocean[Verse 1]She say that I'm cool (Damn straight)I'm like, ""Yeah, that's true"" (That's true)I believe in G-O-D (Ayy)Don't believe in T-H-O-TShe keep playing me dumb (Play me)I'ma play her for fun (Uh-huh)Y'all don't really know my mentalLet me give you the picture like stencilFallin' out in a droughtNo flow, rain wasn't pourin' down (Pourin' down)See, that pain was all aroundSee, my mode was kinda loungedDidn't know which, which way to turnFlow was cool but I still felt burntEnergy up, you can feel my surgeI'ma kill everything like this purge (Ayy)"
39,spotify:track:44TzvSZLIkM7Y7MEnrvkIl,Stuck In The Middle,Tai Verdes,True,0.862,0.564,2,-6.566,0.0425,0.278,0.0,0.0935,0.836,119.952,62,"[Intro]You know what she said to me?[Verse 1]She said, ""You're a player, aren't you?And I bet you got hoes""I said, ""You don't know me like thatI just go with the flow, oh, oh""She said, ""You can't fool me like thatYou're gonna leave me on read""I said, ""Why don't you try me on out?I know you wanna be friends""[Pre-Chorus]But friends turn into sleepoversAnd sleepovers turn into loveLove turns into jealousyAnd now we both fucked up[Chorus]'Cause we're stuck in the middle of lovers and friendsAnd we're losing every part of the benefitsYou hurt me more than I ever knewBut it's shitty 'cause I'm doing the same to you[Verse 2]She said, ""Are we exclusive or not?"" (Exclusive or not)I said, ""What do you wanna do?Seems like you love me a lot"" (Seems like you love me a lot)She said, ""Can we stop the jokingAnd take me seriously?"" (Take me seriously)I said, ""I'll try my very bestBut we'll have to wait and see"" (Let's wait and see)"
42,spotify:track:1Bhm5HNO1cq8olDbBmokyL,Copines,Aya Nakamura,False,0.701,0.787,8,-3.941,0.0855,0.27,0.0,0.105,0.904,180.027,73,"[Paroles de ""Copines""][Couplet 1]Il m'a dit : ""t'es où ? J'te rejoins au tel-hô""Moi j'm'en bats les reins, j'ai besoin d'un vrai djoIl a vu mes copines, j'crois qu'il a flashéJ'suis pas ton plan B, t'as maté le fessierJ'réponds à tes appels, ""tu crois que j'vais la fesser ?""Moi j'm'en bats les reins, j'ai besoin d'un vrai djo[Pré-refrain]Trop tard, trop tardJ'suis trop loin pour toiTrop tard, trop tardJ'suis trop loin pour toi[Refrain]Mais qui est la plus bonne, bonne, bonne de mes copines ? (Uh)Ah mes copines (uh), ah mes copines (uh)Mais tu veux la plus bonne, bonne, bonne de mes copines (ah non)Ah mes copines (ah mes copines), ah mes copinesTu veux tout bombarderBom-bom, bombarder, hey (bom-bom)Tu veux tout bombarderBom-bom, bombarder, ouais (bom-bom)"
43,spotify:track:0fMWtRhzOoWoCo7dRHVEEa,FACK,Eminem,True,0.842,0.602,1,-7.103,0.0796,0.00638,0.112,0.103,0.372,124.213,61,"[Chorus]Ow, ow, ow (Oh, goddamn!)I'm gonna facking cum! (Oh, shit!)Fack, fack, fack (Fuck, I am!)I am, I'm going to cum (I'm cumming!)[Verse 1](Oh yeah, God!) I never seen no chick like thisThis bitch can twist like a damn contortionistCondom on my dick? Of course it isThis bitch don't know what abortion isSo I can't cum in her, fucks like a porn starLooks like Jenna, fack, I'm gonnaCum, I think my rubber's comin' offBut oh, it's so fucking wet and softFuck, I'm gonna start lettin' offI'm squirting and she's not gettin' offAnd she's on top, I'm gonna fackingOh, God, oh, don't do thatDon't, stop, stop, don't, I don't mean ""don't stop""Ow, wait a minute, ow, ow, fuckI, I'm gonna fucking cum! (*Squirt squirt squirt*)[Chorus]Ow, ow, ow (Oh, goddamn!)I'm gonna fucking cum! (Oh, shit!)Fack, fack, fack (Fuck, I am!)I am, I'm going to cum (I'm cumming!)"
44,spotify:track:3pCt2wRdBDa2kCisIdHWgF,To the Bone,Pamungkas,False,0.668,0.727,7,-6.55,0.027,0.514,1.9e-05,0.1,0.939,139.991,79,"[Verse 1]Have I ever told youI want you to the boneHave I ever called youWhen you are all aloneAnd if I ever forgetTo tell you how I feelListen to me now, babeI want you to the bone[Interlude]I want you to the bone, oh-oh-oh-oh-ohI want you to the bone, oh-oh-oh-oh-oh[Verse 2]Maybe if you can seeWhat I feel through my boneEvery corner in meThere's your presence that grownMaybe I nurture it moreBy saying how I feelBut I did mean it beforeI want you to the boneI want you to[Chorus]Take me home, I’m fallin'Love me long, I'm rollin’Losing control, body and soulMind too for sure, I'm already yoursWalk you down, I'm all inHold you tight, you call andI'll take control your body and soulMind too for sure, I'm already yours"
